assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	GTDB_accession	GTDB_domain	GTDB_phylum	GTDB_class	GTDB_order	GTDB_family	GTDB_genus	GTDB_species
GCA_001788965.1	1801919	13	13	81.25	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001789805.1	1802067	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001790675.1	1817877	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001790815.1	1802386	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001790955.1	1802343	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001791425.1	1802407	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001791465.1	1802409	11	10	68.75	6.25	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001792415.1	1802501	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001794575.1	1802687	13	13	81.25	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001797675.1	1797825	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001798165.1	1797861	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001798265.1	1797867	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001799195.1	1797896	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001800075.1	1797946	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001800185.1	1797952	11	11	68.75	0.00	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001800495.1	1797967	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001800515.1	1797968	9	9	56.25	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001801365.1	1798266	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001801435.1	1798273	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001801695.1	1798291	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001804165.1	1801826	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001804945.1	1801682	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001805165.1	1801706	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001816835.1	1802605	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001818285.1	1798543	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001818755.1	1798541	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001819535.1	1801994	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001820685.1	1802277	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001821765.1	1802130	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001824325.1	1817738	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001824795.1	1802426	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001829155.1	1802174	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001871655.1	1805252	15	14	93.75	6.25	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001871695.1	1805216	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001871755.1	1805005	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001871865.1	1805285	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001872605.1	1805027	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001872885.1	1805398	10	10	62.50	0.00	4	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001873845.1	1803514	14	14	87.50	0.00	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001889965.1	1911907	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001897475.1	1895707	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001898225.1	1895928	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001918745.1	1805096	11	11	68.75	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001919455.1	1803440	2	2	12.50	0.00	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002010635.1	1935122	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002010665.1	1935108	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002010915.1	1935136	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002011475.1	1935047	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002049825.1	1956175	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002059205.1	1956171	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002068205.1	1852824	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002069365.1	1852828	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002069885.1	1866925	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002070055.1	1866924	14	13	87.50	6.25	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002070185.1	1852823	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002070295.1	1852850	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002070635.1	1866923	11	11	68.75	0.00	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002070645.1	1852827	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002071305.1	1852875	14	14	87.50	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002083825.1	1919279	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002084765.1	1971726	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002085265.1	1970784	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002085385.1	1970780	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002085445.1	1972449	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002159075.1	230954	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002167555.2	1986674	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002167825.1	1986627	12	12	75.00	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002238885.1	1919267	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002238905.1	1919268	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002254385.1	2012524	3	3	18.75	0.00	3	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002255025.1	2012509	13	12	81.25	6.25	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002256535.1	2020626	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002281735.1	1970513	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002285275.1	2029117	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002293855.1	1953281	13	13	81.25	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002295485.1	1946940	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002295665.1	1953446	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002298025.1	1961470	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002299465.1	1948859	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002307725.1	1948356	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002313395.1	1951144	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002313505.1	1947540	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002320375.1	1948576	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002320695.1	1961463	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002320775.1	1948126	14	13	87.50	6.25	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002322955.1	1953261	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002327305.1	1951135	8	8	50.00	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002328835.1	1953103	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002329525.1	1948702	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002329605.1	1953429	14	13	87.50	6.25	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002335385.1	1953191	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002335495.1	1953392	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002339355.1	1953121	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002340265.1	1948696	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002340345.1	1948368	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002343265.1	1946915	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002345205.1	1961505	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002345475.1	1947951	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002346595.1	1948113	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002347295.1	1948484	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002348105.1	1950941	6	6	37.50	0.00	6	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002352365.1	1948487	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002352565.1	1948155	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002352625.1	1948486	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002352645.1	1948317	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002352935.1	1947943	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002359565.1	1961509	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002366595.1	1950204	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002366725.1	1948310	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002366995.1	1953430	13	11	81.25	12.50	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002371425.1	1951764	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002375965.1	1947968	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002376455.1	1947965	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002389285.1	1948817	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002391555.1	1947978	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002392975.1	1947919	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002394055.1	1946788	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002397955.1	1952910	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002398485.1	1952710	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002400355.1	1947922	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002401425.1	2030811	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002402105.1	2030808	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002402375.1	1947921	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002404055.1	1947830	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002408305.1	1947634	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002409565.1	33995	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002410135.1	1951925	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002410925.1	1953416	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002411145.1	1948050	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002411445.1	1948041	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002413875.1	1947500	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002418775.1	1948079	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002423325.1	1950220	9	9	56.25	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002424175.1	1948065	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002426275.1	1948070	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002426645.1	1948058	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002426705.1	1951322	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002427435.1	1948059	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002428325.1	1953433	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002429065.1	1948269	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002429485.1	1948837	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002432655.1	1953015	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002433595.1	1953442	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002434245.1	365349	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002435875.1	1950221	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002450015.1	1947893	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002450435.1	1948525	11	11	68.75	0.00	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002450905.1	1948761	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002450975.1	1948207	9	9	56.25	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002452615.1	1948861	5	5	31.25	0.00	5	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002454015.1	1948199	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002469885.1	1951154	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002470665.1	178606	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002482545.1	1953031	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002483445.1	1946321	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002494525.1	1917431	13	13	81.25	0.00	6	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002494765.1	1915761	15	15	93.75	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002495235.1	1915766	11	11	68.75	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002495885.1	1915626	15	15	93.75	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002497815.1	1915700	12	12	75.00	0.00	5	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002498635.1	1915996	12	12	75.00	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002499625.1	1915718	12	12	75.00	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002505645.1	1917434	8	8	50.00	0.00	4	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002506145.1	1915546	14	14	87.50	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002631715.1	1926875	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002632265.1	2025905	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002683015.1	2026785	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002684605.1	2026776	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002686135.1	1898112	10	10	62.50	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002686515.1	2026803	5	5	31.25	0.00	5	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002686915.1	2026742	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002686955.1	2026742	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002687025.1	2026781	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002688185.1	2026792	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002688965.1	1906665	14	14	87.50	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002693245.1	2024893	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002694845.1	2024861	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002701115.1	2026754	14	13	87.50	6.25	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002701885.1	1898112	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002704505.1	1904441	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002706635.1	2026739	4	4	25.00	0.00	3	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002713895.1	2026781	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002714015.1	1913989	11	9	68.75	12.50	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002716355.1	1869227	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002717245.1	2026775	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002717565.1	2026724	14	8	87.50	37.50	7	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002717625.1	2026760	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002718375.1	1913989	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002718915.1	2026739	2	2	12.50	0.00	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002721365.1	1898112	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002722845.1	2026763	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_002724505.1	1898112	0	0	0.00	0.00	0	No	NA	NA	NA	NA	NA	NA	NA	NA
